Question;Reponse 1;Profil 1;Reponse 2;Profil 2;Reponse 3;Profil 3
Je chasse un lapin dans la forêt et me rends compte que c'est une espèce protégée.;Je le tue et le dépèce, sa peau se vend chère et personne ne me verra.;0,1,1,-2;J'informe les autorités de cette découverte pour faire progresser les recensements;0,0,1,1;Je me documente sur les espèces de lapin protégées, cela pourrait toujours servir;0,1,1,1
J'ai gagné au loto.;Je place mon argent pour invertir dans une future nouvelle maison;0,1,1,0;Je donne tout à des associations car ils en ont plus besoin que moi;2,0,0,2;J'ai perdu le papier pour retirer l'argent...dommage;0,0,-2,0
Je lance accidentellement un ballon dans la tête de mon frère.;Je nie les faits devant mes parents;0,1,0,-1;Je m'excuse mille fois et pars chercher de la glace, il est sûrement blessé;0,0,0,1;La vue du sang me rend mal, j'avoue mon acte mais je ne peux rien faire d'autre;-1,0,0,1
Un serpent s'introduit dans ma chambre par la fenêtre !;Je suis tétanisé de peur, il est si grand et long qu'il pourrait me manger en une bouchée;-1,0,0,0;Je l'enlève de ma chambre avec mes mains, j'ai vu un tuto pour le faire sur internet;2,0,-1,0;J'appelle les services animaliers de la ville pour qu'ils viennent m'en débarrasser et je sors de la maison en attendant;0,0,1,0
L'ami de mon père me propose un travail immédiat mais dans un domaine que je n'apprécie pas;Je refuse, je dois finir mes études avant de démarrer ma carrière professionnelle.;0,1,1,0;J'accepte car j'ai besoin d'argent ;0,-1,0,0;J'accepte en me laissant la possibilité d'arrèter si ça ne me plaît pas;0,0,1,0
Mon pire ennemi se fait agresser dans la rue.;Je fais un détour pour éviter les embrouilles tout en me persuadant que je suis surchargée.;-1,0,0,0;Je vole à son secours, la sécurité de la ville est ma priorité.;1,0,0,1;Je le film, me moque de lui puis le poste sur les réseaux sociaux car c'est enfin mon heure pour me venger;0,1,0,-2
Je me suis perdu dans une ville et je meurt de faim.;Je mange ma main et garde l'autre pour demain en référence Ã  cette fameuse pièce de théâtre.;1,1,0,0;Je rentre dans des maisons inconnus pour demander a manger.;1,0,1,0;Je garde ma dignité intacte et essaye de me débrouiller seul;0,1,0,0
Un camarade de classe à des difficultés dans un exercice.;Je ne me pose pas de questions et l'aide.;0,0,1,1;Je ne m'en mêle pas et continue mon exercice.;0,0,1,0;Je lui prouve ma suppériorité intellectuelle sans l'aider.;0,1,1,-1
Je n'arrive pas à trouver de la farine dans un magasin.;Je persévère jusqu'à la trouver seul.;0,1,-1,0;Je demande de l'aide à un vendeur malgré ma timidité.;1,1,1,0;Je lâche l'affaire et sort du magasin.;0,-1,1,0
Un braquage a lieu dans la supérette où je suis, l'agresseur est armé.;Je reste silencieux et patiente tout en cherchant à fuir.;0,1,1,0;Je prends mon courage à deux main et tente de maîtriser l'agresseur.;2,1,-1,2;Je tente d'appeler la police en restant cacher.;1,0,1,1
Je vois un homme se faire voler son sac devant moi dans le tram.;Je décide de le dire à la victime pour la prévenir.;0,0,1,2;Je ne fais rien, ça ne me concerne pas.;0,0,-1,-1;Je pars à la poursuite du voleur pour à mon tour me saisir du sac et le lui voler.;1,1,2,0
Une conférence d'un scientifique reconnu a lieu dans mon lycée.;En tant que fan de sciences j'y vais sans hésitation.;1,1,1,0;J'y vais malgré le fait que les sciences ne m'intéressent pas, ça me fera toujours une anecdote.;0,1,-1,0;Je n'y vais pas pour étudier des domaines que je comprends et apprécie.;0,1,-1,0
Je participe à un matche de foot avec mon équipe, et écrasons les adversaires.;Je ne me déconcentre pas et continue de jouer à mon max.;1,0,1,1;Je ne joue plus que pour le plaisir car le matche est déjà gagné.;0,0,1,0;Je redouble d'efforts pour montrer la raison de notre domination tout en respectant les adversaires.;1,1,0,2
Je remarque qu'un jeune garçon se rapproche dangereusement du bord de la falaise.;Je préviens ses parents pour qu'ils agissent.;1,0,0,1;Je vais vers lui pour le dissuader de se raprocher d'avantage.;1,0,0,2;Je l'éloigne du bord et m'assurt de sermoner assez forts les parents irresponsables pour qu'ils retiennent.;3,0,0,3
